Timestamp,TemperatureC,PressureBar,FlowRateLMin,TankLevelPercent
2026-06-09T08:00:00,71.82,4.77,117.11,65.03
2026-06-09T08:00:01,71.88,4.73,115.95,64.99
2026-06-09T08:00:02,71.86,4.75,116.58,64.94
2026-06-09T08:00:03,72.02,4.76,116.29,64.99
2026-06-09T08:00:04,72.15,4.74,117.56,64.98
2026-06-09T08:00:05,72.01,4.71,115.2,64.94
2026-06-09T08:00:06,72.12,4.69,115.8,64.93
2026-06-09T08:00:07,72.14,4.67,114.3,64.93
2026-06-09T08:00:08,72.27,4.63,116.58,64.9
2026-06-09T08:00:09,72.11,4.62,117.59,64.86
2026-06-09T08:00:10,72.14,4.58,119.24,64.88
2026-06-09T08:00:11,72.32,4.57,119.21,64.86
2026-06-09T08:00:12,72.38,4.61,121.95,64.91
2026-06-09T08:00:13,72.38,4.57,121.99,64.9
2026-06-09T08:00:14,72.56,4.61,122.26,64.85
2026-06-09T08:00:15,72.52,4.61,122.08,64.87
2026-06-09T08:00:16,72.62,4.57,122.04,64.86
2026-06-09T08:00:17,72.54,4.55,121.41,64.89
2026-06-09T08:00:18,72.51,4.56,124.39,64.87
2026-06-09T08:00:19,72.58,4.6,124.42,64.88
2026-06-09T08:00:20,72.57,4.61,126.6,64.87
2026-06-09T08:00:21,72.5,4.58,125.39,64.88
2026-06-09T08:00:22,72.41,4.62,124.8,64.88
2026-06-09T08:00:23,72.61,4.62,124.77,64.83
2026-06-09T08:00:24,72.51,4.6,126.58,64.84
2026-06-09T08:00:25,72.51,4.59,125.59,64.83
2026-06-09T08:00:26,72.58,4.58,122.86,64.79
2026-06-09T08:00:27,72.44,4.56,125.32,64.8
2026-06-09T08:00:28,72.32,4.59,124.99,64.82
2026-06-09T08:00:29,72.35,4.55,126.05,64.83
2026-06-09T08:00:30,72.3,4.56,128.17,64.87
2026-06-09T08:00:31,72.24,4.54,127.1,64.91
2026-06-09T08:00:32,72.09,4.57,128.96,64.93
2026-06-09T08:00:33,72.11,4.59,129.89,64.88
2026-06-09T08:00:34,72.0,4.6,129.02,64.91
2026-06-09T08:00:35,71.95,4.58,130.34,64.96
2026-06-09T08:00:36,72.09,4.59,128.65,64.98
2026-06-09T08:00:37,72.26,4.55,128.92,65.02
2026-06-09T08:00:38,72.25,4.59,127.04,65.03
2026-06-09T08:00:39,72.19,4.58,128.63,65.06
2026-06-09T08:00:40,72.35,4.62,127.46,65.06
2026-06-09T08:00:41,72.52,4.63,126.21,65.1
2026-06-09T08:00:42,72.49,4.65,124.45,65.12
2026-06-09T08:00:43,72.52,4.6,124.06,65.11
2026-06-09T08:00:44,72.42,4.61,125.51,65.13
2026-06-09T08:00:45,72.34,4.63,123.02,65.12
2026-06-09T08:00:46,72.27,4.62,121.13,65.14
2026-06-09T08:00:47,72.4,4.61,118.74,65.18
2026-06-09T08:00:48,72.3,4.59,116.06,65.23
2026-06-09T08:00:49,72.26,4.58,118.54,65.2
2026-06-09T08:00:50,72.1,4.57,120.22,65.19
2026-06-09T08:00:51,71.91,4.61,118.14,65.18
2026-06-09T08:00:52,71.85,4.63,119.51,65.22
2026-06-09T08:00:53,71.84,4.66,116.62,65.18
2026-06-09T08:00:54,71.76,4.64,118.78,65.22
2026-06-09T08:00:55,71.57,4.64,116.41,65.2
2026-06-09T08:00:56,71.39,4.62,115.25,65.19
2026-06-09T08:00:57,71.19,4.63,114.33,65.2
2026-06-09T08:00:58,71.16,4.59,114.35,65.19
2026-06-09T08:00:59,71.21,4.62,111.68,65.18
2026-06-09T08:01:00,71.06,4.62,113.11,65.2
2026-06-09T08:01:01,71.25,4.64,112.45,65.21
2026-06-09T08:01:02,71.07,4.67,112.35,65.19
2026-06-09T08:01:03,70.91,4.65,110.43,65.18
2026-06-09T08:01:04,70.79,4.65,107.49,65.17
2026-06-09T08:01:05,70.88,4.7,106.75,65.14
2026-06-09T08:01:06,70.79,4.72,105.84,65.1
2026-06-09T08:01:07,70.73,4.75,103.9,65.05
2026-06-09T08:01:08,70.73,4.74,104.27,65.03
2026-06-09T08:01:09,70.61,4.74,105.64,65.03
2026-06-09T08:01:10,70.53,4.77,103.1,65.07
2026-06-09T08:01:11,70.38,4.73,102.01,65.03
2026-06-09T08:01:12,70.47,4.76,99.12,64.99
2026-06-09T08:01:13,70.32,4.71,100.83,64.98
2026-06-09T08:01:14,70.13,4.67,102.31,64.97
2026-06-09T08:01:15,70.05,4.7,102.56,64.97
2026-06-09T08:01:16,69.9,4.67,101.56,65.0
2026-06-09T08:01:17,69.8,4.67,98.76,64.98
2026-06-09T08:01:18,69.91,4.68,97.35,65.0
2026-06-09T08:01:19,69.82,4.67,98.72,64.95
2026-06-09T08:01:20,69.81,4.66,98.07,64.98
2026-06-09T08:01:21,69.9,4.64,97.75,64.97
2026-06-09T08:01:22,70.07,4.66,100.73,64.93
2026-06-09T08:01:23,70.23,4.63,101.63,64.91
